!!<TOTAL_WINDOWS>!!|6619398
access|33314
air|equipment|1
air|line|86
air|ride|22
air|space|138
air|station|3
air|supply|17
air|switch|51
air|waiting|5
algorithm|11304
algorithm|bios|34
algorithm|cpu|32
algorithm|email|164
algorithm|interface|32
algorithm|modem|10
algorithm|rom|16
algorithm|server|78
algorithm|user|158
algorithm|widget|30
allow|23000
allow|cost|282
allow|costs|4
allow|dollars|194
allow|expected|52
allow|increase|122
allow|limit|174
allow|lower|138
allow|needed|40
allow|pay|62
allow|pressure|38
allow|require|138
allow|supply|98
amendment|7432
amendment|answer|218
amendment|arguments|54
amendment|case|304
amendment|comment|28
amendment|court|46
amendment|criminal|42
amendment|haven|34
amendment|judge|122
amendment|law|168
amendment|statements|28
amendment|trial|36
amendment|virginia|92
american|32980
american|based|308
american|canadian|270
american|field|36
american|ice|38
american|men|146
american|unit|70
american|weight|26
american|women|416
amiga|2801
amiga|code|27
amiga|comp|61
amiga|directory|29
amiga|dos|51
amiga|fax|130
amiga|info|14
amiga|misc|23
amiga|net|72
amiga|sale|85
amiga|standard|249
amiga|sun|42
anonymous|4689
anonymous|card|18
anonymous|code|38
anonymous|email|316
anonymous|file|738
anonymous|files|363
anonymous|free|81
anonymous|internet|64
anonymous|mail|76
anonymous|rom|29
anonymous|users|39
anonymous|windows|29
anonymous|word|6
answer|36796
answer|arguments|28
answer|case|1954
answer|comment|64
answer|court|52
answer|criminal|30
answer|haven|176
answer|judge|10
answer|law|528
answer|opinion|102
answer|statements|46
answer|trial|132
answer|virginia|116
app|6447
apple|12787
apple|based|74
apple|called|596
apple|east|34
apple|national|36
apple|north|30
apple|press|40
apple|site|26
apple|statement|135
apple|sun|182
apple|today|101
apple|western|8
app|card|104
app|cpu|64
app|directory|22
app|email|522
app|fax|40
app|file|231
app|info|63
app|interface|15
app|mac|9
app|mail|23
app|phone|234
app|rom|54
app|services|28
app|software|44
app|systems|123
app|user|168
app|users|28
app|widget|531
april|12346
april|begin|71
april|beginning|32
april|crypto|6
april|decided|18
april|faq|34
april|june|71
april|march|254
april|months|32
april|plan|502
april|riding|10
arab|10058
arabs|6952
arabs|armenia|22
arabs|armenian|32
arabs|armenians|106
arabs|children|118
arabs|christianity|2
arabs|christians|18
arabs|greek|12
arabs|islam|42
arabs|jews|406
arabs|muslims|30
arabs|turkey|28
arabs|turkish|8
arabs|turks|92
arab|arabs|412
arab|armenia|30
arab|armenian|52
arab|believed|126
arab|christianity|30
arab|existence|88
arab|holy|20
arab|jews|576
arab|lives|116
arab|meaning|56
arab|muslims|104
arab|people|504
arab|population|234
arab|present|32
arab|religions|32
arab|religious|42
arab|responsibility|30
arab|turkey|66
arab|turkish|32
arguments|11900
arguments|case|22
arguments|comment|40
arguments|court|106
arguments|criminal|60
arguments|haven|116
arguments|judge|40
arguments|law|76
arguments|opinion|74
arguments|statements|8
arguments|trial|22
arguments|virginia|26
armed|9454
armed|government|196
armed|hands|16
armed|pull|58
armed|ready|36
armed|tried|16
armed|trying|96
armenia|7838
armenian|8490
armenians|7868
armenians|azerbaijan|264
armenians|christians|50
armenians|greek|52
armenians|jews|94
armenians|turkey|788
armenians|turkish|652
armenians|turks|742
armenian|armenians|898
armenian|azerbaijan|534
armenian|christians|6
armenian|greek|70
armenian|jews|16
armenian|turkey|290
armenian|turkish|522
armenian|turks|426
armenia|armenian|940
armenia|armenians|1202
armenia|azerbaijan|436
armenia|christians|28
armenia|greek|164
armenia|holy|30
armenia|jews|128
armenia|turkey|632
armenia|turkish|846
armenia|turks|1116
arms|13556
arms|gas|34
arms|nearly|50
arms|oil|50
arms|russia|4
arms|russian|10
arms|spent|38
associated|4034
associated|case|101
associated|david|184
associated|example|47
associated|human|40
associated|says|53
associated|smith|14
associated|source|53
associated|steve|165
associated|times|73
atheism|11844
atheism|austin|76
atheism|beliefs|54
atheism|bible|156
atheism|bob|6
atheism|christ|168
atheism|christianity|30
atheism|christians|105
atheism|faith|63
atheism|god|465
atheism|hate|6
atheism|islam|135
atheism|jesus|93
atheism|message|12
atheism|religion|117
atheism|religions|39
atheism|religious|327
atheism|truth|17
atheism|understanding|48
austin|7604
austin|belief|12
austin|bob|8
austin|islam|10
austin|joe|60
auto|9756
auto|comp|28
auto|curious|60
auto|dealer|14
auto|interesting|32
auto|shipping|92
auto|surely|16
auto|universe|76
away|72672
away|better|837
away|car|106
away|care|138
away|come|279
away|driving|30
away|goes|152
away|going|89
away|hard|295
away|like|7746
away|little|246
away|lot|936
away|lots|266
away|past|114
away|problem|534
away|putting|24
away|running|26
away|small|326
away|sure|79
away|turn|28
away|water|52
away|way|789
azerbaijan|4521
azerbaijan|christians|12
azerbaijan|germany|34
azerbaijan|greek|54
azerbaijan|missing|16
azerbaijan|nearly|4
azerbaijan|russian|138
azerbaijan|soviet|54
azerbaijan|spent|2
azerbaijan|turkey|110
azerbaijan|turkish|196
azerbaijan|turks|74
ball|4674
ball|hands|21
ball|played|45
ball|read|42
ball|smith|30
ball|times|102
ball|words|20
ball|write|6
ball|wrote|65
ball|yes|239
based|64206
based|called|194
based|canadian|16
based|east|62
based|field|88
based|ice|64
based|men|76
based|national|322
based|north|3
based|park|171
based|press|141
based|site|81
based|statement|481
based|sun|471
based|today|120
based|unit|350
based|weight|156
based|western|36
based|women|258
begin|17556
beginning|20139
beginning|decided|159
beginning|discuss|250
beginning|escrow|142
beginning|faq|10
beginning|federal|340
beginning|flame|38
beginning|genocide|202
beginning|june|36
beginning|march|42
beginning|months|96
beginning|organizations|38
beginning|plan|120
beginning|proposed|14
beginning|ride|60
beginning|tax|102
begin|beginning|180
begin|crypto|25
begin|decided|56
begin|discuss|62
begin|escrow|62
begin|faq|25
begin|federal|4
begin|flame|32
begin|june|34
begin|march|60
begin|organizations|30
begin|plan|75
begin|proposed|16
begin|ride|98
begin|riding|6
belief|19398
beliefs|14805
beliefs|bible|130
beliefs|bob|6
beliefs|children|214
beliefs|christ|159
beliefs|christianity|153
beliefs|christians|366
beliefs|faith|534
beliefs|freedom|37
beliefs|god|1806
beliefs|islam|57
beliefs|jesus|408
beliefs|joe|54
beliefs|muslims|62
beliefs|religion|933
beliefs|religions|1692
beliefs|religious|1134
beliefs|scripture|48
beliefs|tom|2
belief|beliefs|339
belief|bob|102
belief|children|74
belief|christ|387
belief|christianity|147
belief|christians|330
belief|faith|1506
belief|freedom|44
belief|god|1278
belief|islam|54
belief|joe|150
belief|religion|633
belief|religions|153
belief|religious|117
belief|tom|20
believe|44160
believed|9634
believed|christianity|378
believed|christians|28
believed|existence|14
believed|lives|672
believed|muslims|2
believed|people|292
believed|population|28
believed|present|68
believed|religious|56
believed|responsibility|44
believe|called|453
believe|christ|224
believe|christians|257
believe|come|570
believe|example|90
believe|god|1200
believe|holy|106
believe|islam|77
believe|jesus|689
believe|know|1352
believe|known|149
believe|let|236
believe|like|941
believe|man|412
believe|maybe|389
believe|mean|1827
believe|meaning|295
believe|men|113
believe|people|3837
believe|said|962
believe|says|1094
believe|sin|251
believe|think|2640
believe|thought|134
believe|time|784
believe|times|274
believe|took|93
believe|turn|741
believe|words|794
believe|years|2751
believe|yes|278
bell|10146
bell|bob|554
bell|children|60
bell|joe|342
bell|tom|124
better|124092
better|build|650
better|choice|592
better|clear|822
better|come|1656
better|difficult|288
better|drive|1077
better|easy|265
better|going|800
better|hard|621
better|like|13338
better|looking|1132
better|lot|1146
better|meant|102
better|microsoft|494
better|need|814
better|needed|1038
better|needs|1104
better|past|1270
better|problem|2985
better|pull|110
better|running|359
better|sure|667
better|team|696
better|way|9885
bible|32793
bible|christ|432
bible|christianity|234
bible|faith|176
bible|god|3222
bible|hate|8
bible|islam|9
bible|jesus|1740
bible|message|148
bible|religion|309
bible|religions|66
bible|scripture|471
bible|truth|334
bible|understanding|52
billion|3140
billion|dos|10
billion|million|100
billion|net|137
billion|standard|5
billion|sun|107
bios|9939
bios|button|35
bios|code|42
bios|comp|12
bios|cpu|208
bios|directory|33
bios|dos|116
bios|email|201
bios|floppy|119
bios|ftp|37
bios|graphics|60
bios|hardware|61
bios|ide|248
bios|info|483
bios|interface|9
bios|mac|21
bios|mail|81
bios|modem|126
bios|motherboard|368
bios|parts|34
bios|rom|381
bios|scsi|186
bios|software|66
bios|sys|35
bios|unix|31
bios|user|135
bios|windows|296
bitnet|17920
bitnet|bring|112
bitnet|case|342
bitnet|considered|48
bitnet|country|128
bitnet|death|544
bitnet|example|72
bitnet|fact|90
bitnet|government|206
bitnet|non|1118
bitnet|possibly|112
bitnet|responsible|132
bits|10570
bits|chips|26
bits|data|220
bits|device|100
bits|devices|14
bits|disk|154
bits|equipment|10
bits|machines|210
bits|output|392
bits|stuff|202
bits|surface|32
bits|systems|34
blood|12268
blood|car|38
blood|care|70
blood|driving|32
blood|goes|24
blood|like|374
blood|little|224
blood|lot|70
blood|lots|34
blood|patients|38
blood|putting|94
blood|small|60
blood|water|32
bob|18788
bob|children|28
bob|christianity|56
bob|joe|594
bob|religions|40
bob|tom|170
body|23056
body|come|494
body|earth|180
body|exactly|80
body|inside|44
body|left|216
body|like|1320
body|lot|222
body|probably|550
body|problem|608
body|taken|120
body|thought|160
body|way|1680
bring|25761
bring|case|1712
bring|come|201
bring|considered|20
bring|country|14
bring|death|272
bring|example|18
bring|fact|88
bring|government|210
bring|hands|48
bring|hold|375
bring|know|129
bring|let|68
bring|non|916
bring|people|948
bring|possibly|774
bring|ready|156
bring|responsible|154
bring|rich|42
bring|right|48
bring|try|319
bring|trying|387
bring|want|56
bring|wanted|45
bring|way|294
build|18578
build|choice|208
build|clear|78
build|difficult|102
build|drive|156
build|looking|142
build|meant|44
build|microsoft|104
build|need|580
build|needed|66
build|needs|120
build|pull|62
build|team|176
build|way|472
bunch|13160
bunch|dangerous|60
bunch|gun|148
bunch|guns|78
bunch|innocent|22
bunch|institute|38
bunch|men|216
bunch|science|240
bunch|weapon|6
bus|14998
bus|cars|138
bus|generally|20
bus|light|244
bus|nature|30
bus|places|144
bus|ride|38
bus|road|68
bus|section|200
bus|shuttle|86
bus|station|14
bus|track|58
button|3646
button|encryption|55
button|floppy|55
button|ftp|9
button|graphics|66
button|mac|90
button|religious|54
button|rom|36
button|server|15
button|windows|260
buy|18372
buy|cable|180
buy|cars|43
buy|clock|16
buy|commercial|374
buy|drive|240
buy|equipment|82
buy|line|79
buy|ride|208
buy|space|97
buy|station|35
buy|supply|75
buy|switch|58
buy|waiting|23
cable|5332
cable|clock|15
cable|drive|143
cable|equipment|5
cable|line|55
cable|ride|36
cable|space|86
cable|station|44
cable|supply|113
cable|switch|62
cable|waiting|8
called|28324
called|come|197
called|east|43
called|exactly|161
called|follow|94
called|head|105
called|inside|31
called|know|1541
called|known|97
called|let|852
called|like|2801
called|maybe|356
called|meaning|92
called|means|259
called|national|105
called|north|124
called|park|93
called|people|1258
called|press|103
called|probably|535
called|problem|544
called|said|2343
called|says|441
called|simply|74
called|site|103
called|sounds|166
called|south|47
called|statement|113
called|sun|517
called|think|1924
called|thought|209
called|time|404
called|today|204
called|turn|201
called|way|3561
called|western|95
called|word|286
caltech|4131
caltech|caught|28
caltech|games|41
caltech|past|17
caltech|penalty|20
caltech|run|37
caltech|running|60
caltech|runs|7
caltech|uiuc|36
cambridge|7534
cambridge|earth|112
cambridge|institute|76
cambridge|nasa|48
cambridge|park|98
cambridge|research|132
cambridge|science|2
canadian|6178
canadian|field|46
canadian|ice|266
canadian|men|8
canadian|unit|38
canadian|weight|28
canadian|women|20
car|38432
card|51729
cards|7341
cards|code|92
cards|email|194
cards|file|27
cards|files|37
cards|free|81
cards|internet|138
cards|mail|355
cards|pages|16
cards|rom|53
cards|users|58
cards|windows|486
cards|word|138
card|cards|385
card|code|24
card|email|1608
card|file|1635
card|files|453
card|free|935
card|info|422
card|internet|287
card|mac|1438
card|mail|651
card|pages|19
card|phone|580
card|rom|300
card|server|286
card|services|124
card|telephone|272
card|user|286
card|users|186
card|windows|732
card|word|47
care|32578
care|driving|144
care|goes|90
care|like|516
care|little|338
care|lot|464
care|lots|244
care|patients|44
care|putting|168
care|small|390
care|turn|184
care|water|124
cars|25701
cars|clock|13
cars|drive|978
cars|equipment|378
cars|generally|114
cars|light|230
cars|line|12
cars|nature|20
cars|places|32
cars|ride|9
cars|road|162
cars|section|12
cars|space|5
cars|station|39
cars|switch|29
cars|track|80
cars|traffic|54
cars|waiting|45
car|care|1186
car|driving|1688
car|goes|136
car|like|1516
car|little|760
car|lot|320
car|lots|118
car|putting|364
car|small|282
car|turn|224
car|water|250
case|99912
case|comment|142
case|considered|302
case|country|166
case|court|404
case|criminal|118
case|david|1539
case|death|900
case|editor|27
case|example|438
case|fact|256
case|government|1208
case|haven|462
case|human|214
case|judge|84
case|law|2150
case|non|4066
case|opinion|574
case|possibly|322
case|responsible|784
case|rich|176
case|says|1098
case|smith|160
case|source|157
case|statements|306
case|steve|90
case|times|217
case|trial|306
case|virginia|390
caught|4093
caught|games|26
caught|missed|26
caught|penalty|22
caught|ran|22
caught|run|149
caught|running|26
caught|runs|7
caught|sin|21
caught|twice|15
caught|uiuc|24
cheaper|9270
cheaper|cost|1086
cheaper|costs|28
cheaper|dollars|118
cheaper|expected|46
cheaper|increase|210
cheaper|limit|32
cheaper|lower|154
cheaper|needed|56
cheaper|pay|300
cheaper|pressure|12
cheaper|reduce|10
cheaper|require|70
cheaper|supply|208
children|27920
children|christianity|774
children|islam|62
children|joe|116
children|muslims|156
children|religions|108
children|tom|314
chip|13640
chips|12084
chips|data|76
chips|device|24
chips|devices|22
chips|disk|74
chips|equipment|4
chips|machine|70
chips|machines|58
chips|output|80
chips|stuff|36
chips|surface|2
chips|systems|190
chips|vga|36
chip|computers|53
chip|device|71
chip|devices|763
chip|digital|605
chip|disk|204
chip|drives|33
chip|electronic|6
chip|equipment|112
chip|hardware|251
chip|machine|167
chip|software|190
chip|systems|156
chip|tech|74
chip|uses|197
choice|17826
choice|clear|128
choice|difficult|138
choice|drive|294
choice|looking|92
choice|meant|18
choice|need|340
choice|needed|64
choice|needs|28
choice|pull|86
choice|team|76
choice|way|354
christ|29109
christian|28074
christianity|22443
christianity|christians|450
christianity|existence|10
christianity|faith|210
christianity|freedom|66
christianity|god|888
christianity|hate|94
christianity|islam|405
christianity|jesus|525
christianity|jews|228
christianity|lives|228
christianity|message|18
christianity|muslims|52
christianity|people|796
christianity|population|68
christianity|present|506
christianity|religion|2172
christianity|religions|267
christianity|religious|264
christianity|responsibility|24
christianity|scripture|144
christianity|tom|74
christianity|truth|103
christianity|understanding|134
christians|31158
christians|existence|106
christians|faith|405
christians|freedom|25
christians|ftp|3
christians|god|3096
christians|greek|24
christians|holy|219
christians|islam|66
christians|jesus|1458
christians|jews|98
christians|know|496
christians|lives|64
christians|mac|54
christians|mean|197
christians|meaning|159
christians|muslims|242
christians|people|780
christians|population|68
christians|present|72
christians|religion|831
christians|religions|282
christians|religious|267
christians|responsibility|96
christians|rom|12
christians|scripture|315
christians|server|183
christians|sin|99
christians|thought|162
christians|times|36
christians|turkey|44
christians|turkish|16
christians|turks|70
christians|words|267
christians|yes|63
christian|draw|66
christian|fbi|192
christian|nasa|46
christian|nsa|38
christian|send|154
christian|study|330
christian|umd|198
christian|version|404
christian|versions|170
christ|christianity|261
christ|christians|1254
christ|faith|633
christ|freedom|17
christ|god|1617
christ|hate|12
christ|holy|66
christ|islam|39
christ|jesus|1980
christ|know|193
christ|mean|77
christ|meaning|231
christ|message|18
christ|religion|426
christ|religions|138
christ|religious|42
christ|scripture|27
christ|sin|216
christ|thought|1764
christ|times|70
christ|truth|23
christ|understanding|44
christ|words|4
christ|yes|15
clear|28616
clear|difficult|278
clear|drive|190
clear|looking|330
clear|meant|136
clear|microsoft|22
clear|need|422
clear|needed|134
clear|needs|80
clear|pull|208
clear|team|196
clear|way|510
client|2942
client|code|17
client|communications|40
client|email|36
client|encrypted|15
client|file|57
client|files|38
clock|5888
clock|drive|138
clock|equipment|25
clock|line|78
clock|ride|5
clock|space|24
clock|station|15
clock|supply|35
clock|switch|6
clock|waiting|31
code|13418
code|communications|65
code|comp|160
code|criminal|55
code|directory|19
code|dos|357
code|email|383
code|encrypted|69
code|fax|244
code|federal|174
code|file|462
code|files|158
code|free|73
code|info|209
code|internal|56
code|internet|291
code|law|61
code|mac|98
code|mail|297
code|million|16
code|misc|74
code|modem|28
code|net|546
code|pages|23
code|parts|32
code|rec|36
code|rom|44
code|sale|38
code|server|76
code|standard|217
code|sun|69
code|sys|117
code|unix|97
code|users|281
code|windows|483
code|wire|6
code|word|145
colors|8156
colors|draw|170
colors|fonts|30
colors|gif|110
colors|nasa|10
colors|nsa|32
colors|send|118
colors|version|38
come|104475
come|drive|2169
come|earth|286
come|easy|331
come|exactly|465
come|going|901
come|hands|183
come|hard|363
come|head|96
come|hold|285
come|inside|981
come|know|3425
come|known|677
come|left|346
come|let|69
come|like|1644
come|lot|2085
come|maybe|752
come|past|203
come|people|3417
come|probably|1899
come|problem|741
come|ready|126
come|right|2894
come|running|104
come|said|276
come|says|339
come|sure|996
come|taken|384
come|think|947
come|thought|222
come|time|6509
come|try|273
come|trying|1137
come|turn|288
come|want|5218
come|wanted|81
come|way|1182
comment|14994
comment|court|16
comment|criminal|52
comment|haven|124
comment|law|44
comment|opinion|130
comment|statements|206
comment|trial|68
comment|virginia|158
commercial|17949
commercial|drive|21
commercial|generally|108
commercial|light|24
commercial|line|57
commercial|nature|50
commercial|road|48
commercial|shuttle|56
commercial|space|97
commercial|station|60
commercial|supply|111
commercial|switch|40
commercial|track|36
commercial|traffic|28
communications|5698
communications|criminal|19
communications|directory|90
communications|email|99
communications|encrypted|7
communications|fax|162
communications|federal|84
communications|file|56
communications|files|61
communications|hardware|58
communications|info|112
communications|internal|43
communications|law|136
communications|mac|22
communications|mail|226
communications|phone|210
communications|server|40
communications|software|109
communications|systems|159
communications|telephone|43
communications|wire|24
comp|18384
computers|5093
computers|device|20
computers|disk|20
computers|drives|94
computers|electronic|11
computers|equipment|55
computers|hardware|39
computers|machine|69
computers|software|30
computers|systems|57
computers|tech|93
computers|uses|266
comp|curious|112
comp|directory|71
comp|dos|323
comp|earth|20
comp|fax|149
comp|info|234
comp|interesting|30
comp|mac|546
comp|misc|144
comp|modem|117
comp|net|128
comp|parts|13
comp|rec|19
comp|russian|48
comp|sale|75
comp|server|39
comp|shipping|34
comp|shown|6
comp|standard|34
comp|sun|300
comp|sys|651
comp|unix|83
conclusion|9312
conclusion|curious|8
conclusion|earth|120
conclusion|humans|66
conclusion|interesting|24
conclusion|moment|34
conclusion|shipping|32
conclusion|shown|108
conclusion|surely|48
conclusion|universe|4
conference|9352
conference|earth|18
conference|institute|54
conference|moon|28
conference|nasa|58
conference|park|38
conference|research|48
conference|science|76
conference|scientific|174
conference|sun|4
considered|22852
considered|country|122
considered|death|156
considered|example|232
considered|fact|414
considered|government|286
considered|non|254
considered|possibly|148
considered|responsible|116
considered|rich|24
cost|29222
costs|12334
costs|dollars|4
costs|increase|18
costs|limit|12
costs|lower|62
costs|needed|126
costs|pay|118
costs|pressure|46
costs|reduce|88
cost|costs|352
cost|dollars|542
cost|expected|26
cost|increase|290
cost|limit|10
cost|lower|264
cost|needed|202
cost|pay|1792
cost|pressure|134
cost|reduce|154
cost|require|178
cost|supply|102
country|26788
country|death|264
country|example|2392
country|fact|38
country|government|756
country|non|136
country|possibly|36
country|responsible|38
country|rich|106
court|14406
court|criminal|60
court|haven|92
court|judge|412
court|law|732
court|opinion|44
court|statements|52
court|trial|246
court|virginia|250
cpu|9498
cpu|email|168
cpu|ide|86
cpu|interface|84
cpu|modem|114
cpu|motherboard|282
cpu|rom|44
cpu|scsi|112
cpu|server|58
cpu|user|102
criminal|11313
criminal|email|39
criminal|encrypted|41
criminal|enforcement|158
criminal|federal|147
criminal|file|36
criminal|government|332
criminal|haven|126
criminal|judge|80
criminal|law|372
criminal|nsa|6
criminal|opinion|44
criminal|organizations|28
criminal|security|30
criminal|statements|42
criminal|trial|34
criminal|virginia|6
crypto|3227
crypto|decided|7
crypto|faq|5
crypto|months|31
culture|3976
culture|economic|5
culture|editor|13
culture|eng|6
culture|forget|13
culture|know|46
culture|knows|13
culture|mail|18
culture|problem|36
culture|says|32
curious|10350
curious|earth|38
curious|interesting|80
curious|surely|30
curious|universe|34
cwru|4636
cwru|hands|19
cwru|played|13
cwru|read|53
cwru|times|5
cwru|words|37
cwru|write|51
cwru|written|19
cwru|wrote|53
dan|7026
dangerous|11020
dangerous|gun|68
dangerous|guns|522
dangerous|innocent|58
dangerous|institute|78
dangerous|men|64
dangerous|science|36
dangerous|solution|4
dangerous|weapon|20
dan|economic|13
dan|editor|49
dan|forget|155
dan|know|404
dan|knows|39
dan|mail|409
dan|problem|121
dan|says|128
data|44012
data|device|282
data|devices|580
data|disk|532
data|equipment|238
data|machine|1166
data|machines|116
data|output|318
data|stuff|534
data|surface|154
data|systems|670
data|vga|70
david|28144
david|editor|48
david|example|226
david|human|101
david|says|488
david|smith|123
david|source|140
david|steve|172
david|times|245
dead|37698
dead|death|6
dead|died|18
dead|father|183
dead|goal|12
dead|great|648
dead|heard|258
dead|john|134
dead|love|67
dead|man|768
dead|mother|120
dead|pain|12
dead|remember|387
dead|son|6
dead|thought|132
dead|woman|144
dealer|9184
dealer|earth|20
dealer|interesting|20
dealer|shipping|64
death|39303
death|example|154
death|fact|180
death|father|252
death|government|452
death|great|270
death|heard|150
death|love|40
death|man|498
death|mother|126
death|non|1186
death|possibly|122
death|remember|15
death|responsible|292
death|rich|44
death|son|30
death|thought|252
death|woman|192
death|young|60
decided|9161
decided|faq|38
decided|june|4
decided|march|44
decided|months|31
decided|plan|32
decided|riding|17
device|21540
devices|16764
devices|digital|229
devices|disk|495
devices|drives|65
devices|electronic|24
devices|equipment|54
devices|hardware|74
devices|machine|111
devices|machines|58
devices|output|104
devices|software|67
devices|stuff|68
devices|surface|34
devices|systems|234
devices|uses|97
device|devices|360
device|digital|61
device|disk|222
device|drives|40
device|electronic|71
device|equipment|90
device|hardware|74
device|machine|546
device|machines|92
device|output|410
device|software|107
device|stuff|58
device|systems|609
device|tech|26
device|uses|103
device|vga|50
died|12258
died|father|104
died|great|36
died|heard|122
died|john|48
died|man|120
died|pain|70
died|woman|42
difficult|18396
difficult|drive|324
difficult|looking|142
difficult|need|332
difficult|needed|108
difficult|needs|74
difficult|pull|18
difficult|team|20
difficult|way|796
digital|6523
digital|disk|155
digital|drives|55
digital|electronic|12
digital|equipment|302
digital|hardware|142
digital|machine|178
digital|software|110
digital|systems|103
digital|tech|16
digital|uses|129
directory|5998
directory|dos|60
directory|email|61
directory|fax|75
directory|file|340
directory|hardware|29
directory|info|355
directory|interface|23
directory|mac|34
directory|mail|282
directory|misc|44
directory|net|63
directory|phone|76
directory|rom|28
directory|sale|9
directory|server|26
directory|software|52
directory|standard|13
directory|systems|60
directory|user|139
directory|widget|30
discuss|8650
discuss|federal|8
discuss|flame|72
discuss|plan|52
discuss|proposed|40
disk|36876
disk|drives|415
disk|electronic|23
disk|equipment|84
disk|hardware|145
disk|machine|993
disk|machines|238
disk|output|118
disk|software|958
disk|stuff|248
disk|surface|72
disk|systems|411
disk|tech|39
disk|uses|36
disk|vga|208
dollars|7594
dollars|expected|34
dollars|increase|2
dollars|limit|30
dollars|needed|70
dollars|pay|140
dollars|reduce|18
dollars|supply|50
dos|14551
dos|fax|246
dos|info|236
dos|mac|274
dos|million|22
dos|misc|77
dos|modem|168
dos|net|162
dos|parts|28
dos|russian|6
dos|sale|496
dos|server|142
dos|standard|141
dos|sun|79
dos|sys|637
dos|unix|302
draw|11506
draw|fonts|40
draw|gif|32
draw|nasa|52
draw|nsa|56
draw|send|290
draw|study|148
draw|umd|66
draw|version|216
draw|versions|38
drive|71946
drives|6706
drives|electronic|1
drives|equipment|11
drives|hardware|114
drives|machine|101
drives|software|365
drives|systems|106
drives|tech|25
drives|uses|89
drive|easy|369
drive|equipment|207
drive|going|985
drive|hard|1299
drive|like|2493
drive|line|286
drive|looking|504
drive|lot|387
drive|microsoft|148
drive|need|2286
drive|needed|254
drive|needs|332
drive|past|42
drive|problem|1461
drive|pull|302
drive|ride|483
drive|running|126
drive|space|265
drive|station|549
drive|supply|648
drive|sure|1114
drive|switch|286
drive|team|76
drive|waiting|70
drive|way|1155
driving|11586
driving|goes|34
driving|like|472
driving|little|276
driving|lot|72
driving|lots|50
driving|small|60
driving|turn|44
driving|water|50
earth|24114
earth|exactly|270
earth|humans|422
earth|institute|98
earth|interesting|442
earth|left|158
earth|like|558
earth|lot|144
earth|lunar|236
earth|moment|206
earth|moon|352
earth|nasa|816
earth|park|56
earth|probably|250
earth|problem|1158
earth|research|286
earth|science|264
earth|scientific|68
